booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,passport_hash,booking_year,booking_month,booking_day,booking_dayofweek
B1079,P1211,SJ085,2025-06-03 11:37:36,CONFIRMED,W******1,10D,Yug Kar,+91--XXXXXX-8019,3922a61101c45e03,2025,6,3,Tuesday
B1080,P1576,SJ023,2025-06-05 11:37:36,CONFIRMED,H******9,22D,Devansh Nigam,+91--XXXXXX-0958,69833de8f3650841,2025,6,5,Thursday
B1081,P1960,SJ202,2025-11-13 11:37:36,CANCELLED,Y******9,29C,Ansh Karpe,+91--XXXXXX-8400,45d210d5be66ce5d,2025,11,13,Thursday
B1082,P1208,SJ150,2025-09-09 11:37:36,CANCELLED,Y******8,30A,Thomas Amble,+91--XXXXXX-4669,1ba0b793addbbdbf,2025,9,9,Tuesday
B1083,P1762,SJ116,2025-05-12 11:37:36,CANCELLED,E******6,9A,Ekavir Bhargava,+91--XXXXXX-4087,07d710d8319a7022,2025,5,12,Monday
B1084,P1896,6F270,2025-06-14 11:37:36,PENDING,H******1,16E,Veer Bir,+91--XXXXXX-8688,1f46e69e1d41f879,2025,6,14,Saturday
B1085,P1116,UK150,2026-03-24 11:37:36,PENDING,V******2,12A,Azad Narayanan,+91--XXXXXX-9329,b258182f0a199d54,2026,3,24,Tuesday
B1086,P1627,SJ237,2026-02-16 11:37:36,CONFIRMED,G******7,5D,Ekavir Varkey,+91--XXXXXX-3483,384e15a1ebac4d6d,2026,2,16,Monday
B1087,P1748,AI221,2025-05-08 11:37:36,CANCELLED,L******0,2F,Wazir Mallick,+91--XXXXXX-8674,b787ef633d82f67b,2025,5,8,Thursday
B1088,P1477,SJ081,2026-03-25 11:37:36,PENDING,A******3,31A,Vedika Kala,+91--XXXXXX-7433,bc9202b8f8ac8107,2026,3,25,Wednesday
B1089,P1104,UK189,2025-09-03 11:37:36,CANCELLED,W******5,25F,Kevin Solanki,+91--XXXXXX-1422,4240ebd18b06514f,2025,9,3,Wednesday
B1090,P1494,SJ068,2025-05-16 11:37:36,PENDING,V******2,31C,Xavier Solanki,+91--XXXXXX-1775,cd4df04a6a7da0c2,2025,5,16,Friday
B1091,P1770,6F043,2025-08-18 11:37:36,PENDING,C******5,25D,Niharika Gupta,+91--XXXXXX-1387,2fdc50ebb3acbe65,2025,8,18,Monday
B1092,P1045,UK187,2026-03-18 11:37:36,CONFIRMED,P******4,16D,Girindra Chatterjee,+91--XXXXXX-6973,5916659ac07e23a7,2026,3,18,Wednesday
B1093,P1822,UK074,2025-05-11 11:37:36,CONFIRMED,L******6,25E,Raagini Pandya,+91--XXXXXX-0231,8a34d3452b59815a,2025,5,11,Sunday
B1094,P1330,UK004,2026-01-07 11:37:36,PENDING,P******0,24C,Pallavi Roy,+91--XXXXXX-7557,3dc20fdd581f44f3,2026,1,7,Wednesday
B1095,P1215,6F194,2025-07-30 11:37:36,CONFIRMED,X******6,14B,Unni Bhagat,+91--XXXXXX-2655,3e292eecada7ebea,2025,7,30,Wednesday
B1096,P1981,UK068,2026-01-03 11:37:36,PENDING,Y******8,12B,Guneet Bhat,+91--XXXXXX-8767,9e8f1ddbf9eeecc0,2026,1,3,Saturday
B1097,P1959,6F017,2025-08-26 11:37:36,UNKNOWN,J******8,34F,Neha Nori,+91--XXXXXX-9257,caac55a7f5a75b35,2025,8,26,Tuesday
B1098,P1491,6F245,2025-10-15 11:37:36,UNKNOWN,Z******8,13D,Ikbal Kothari,+91--XXXXXX-0675,480f93cdad65e765,2025,10,15,Wednesday
B1099,P1812,6F254,2025-12-07 11:37:36,CONFIRMED,Z******2,26E,Rehaan Gupta,+91--XXXXXX-5408,622bcc9aee0babde,2025,12,7,Sunday
B1100,P1921,UK077,2026-03-05 11:37:36,CONFIRMED,F******0,16D,Saumya Dey,+91--XXXXXX-2423,a0042fc666f9fc40,2026,3,5,Thursday
B1101,P1844,AI029,2025-07-19 11:37:36,CONFIRMED,V******7,3D,Pahal Goswami,+91--XXXXXX-0041,088e2e594af0ee81,2025,7,19,Saturday
B1102,P1448,SJ196,2025-10-06 11:37:36,UNKNOWN,N******6,15F,Arya Shere,+91--XXXXXX-7824,2e95d7936c95c449,2025,10,6,Monday
B1103,P1535,AI242,2025-08-08 11:37:36,CANCELLED,W******6,20D,Zaid Borra,+91--XXXXXX-0195,32c565973b1955fb,2025,8,8,Friday
B1104,P1510,AI242,2025-09-12 11:37:36,CANCELLED,V******5,16E,Saanvi Chaudhari,+91--XXXXXX-1992,e73e7ea866f0463a,2025,9,12,Friday
B1105,P1457,SJ044,2025-09-11 11:37:36,CONFIRMED,J******0,19F,Chandresh Zachariah,+91--XXXXXX-2865,b9a778e34cc498de,2025,9,11,Thursday
B1106,P1546,UK063,2025-09-01 11:37:36,CONFIRMED,H******4,21F,Alexander Chander,+91--XXXXXX-7368,a4893a10c048ea1e,2025,9,1,Monday
B1107,P1535,AI056,2025-05-19 11:37:36,CONFIRMED,H******8,30F,Warjas Ganesan,+91--XXXXXX-1339,ae9b8c568a100642,2025,5,19,Monday
B1108,P1539,UK207,2025-10-11 11:37:36,CANCELLED,B******7,14B,Niharika Sunder,+91--XXXXXX-0049,b74e5f9d7b8bb772,2025,10,11,Saturday
B1109,P1483,UK166,2025-12-03 11:37:36,CANCELLED,L******9,33D,Vasana Kala,+91--XXXXXX-1363,e17ac4f91bf89e24,2025,12,3,Wednesday
B1110,P1975,6F261,2025-12-17 11:37:36,PENDING,D******0,12B,Nandini Bhargava,+91--XXXXXX-8743,fec7e60fc2cb8fb3,2025,12,17,Wednesday
B1111,P1999,UK134,2025-12-25 11:37:36,CANCELLED,A******2,34A,Nitesh Raghavan,+91--XXXXXX-0327,1aeb14aa6053160a,2025,12,25,Thursday
B1112,P1015,6F152,2025-10-02 11:37:36,PENDING,N******1,27A,Aarnav Ramakrishnan,+91--XXXXXX-0611,eeb39572852f6df5,2025,10,2,Thursday
B1113,P1570,SJ089,2025-11-23 11:37:36,CONFIRMED,M******9,5A,Alka Sha,+91--XXXXXX-3389,76be958825cf2fbc,2025,11,23,Sunday
B1114,P1976,6F123,2025-09-26 11:37:36,CANCELLED,W******5,2E,Bhavika Sampath,+91--XXXXXX-8435,1e6b4102113ef85e,2025,9,26,Friday
B1115,P1242,AI025,2025-08-23 11:37:36,CONFIRMED,P******8,10A,Vidhi Dubey,+91--XXXXXX-1024,7b1635c380d771c7,2025,8,23,Saturday
B1116,P1949,6F030,2025-12-05 11:37:36,CONFIRMED,J******0,19B,Ranveer Minhas,+91--XXXXXX-1177,c537cd270d40bf3c,2025,12,5,Friday
B1117,P1206,SJ222,2025-09-02 11:37:36,CONFIRMED,B******6,28F,Teerth Bhardwaj,+91--XXXXXX-6273,29c3d59366e96d88,2025,9,2,Tuesday
B1118,P1911,UK109,2026-04-03 11:37:36,CONFIRMED,D******0,34B,Darsh Murthy,+91--XXXXXX-2542,34bcbe76648acc55,2026,4,3,Friday
B1119,P1270,SJ117,2025-11-25 11:37:36,CANCELLED,N******1,21F,Dakshesh Bedi,+91--XXXXXX-5920,c72a9f30b91ff9c4,2025,11,25,Tuesday
B1120,P1760,SJ142,2025-08-12 11:37:36,CONFIRMED,F******8,12D,Vansha Thakkar,+91--XXXXXX-9377,1c47629b19a466ff,2025,8,12,Tuesday
B1121,P1993,SJ142,2025-06-01 11:37:36,PENDING,Z******8,17C,Nakul Bhandari,+91--XXXXXX-9980,8722a325c78c27ea,2025,6,1,Sunday
B1122,P1778,AI030,2025-05-02 11:37:36,CANCELLED,H******5,20B,Yashoda Buch,+91--XXXXXX-0459,ca7e8d8c590344f5,2025,5,2,Friday
B1123,P1704,6F097,2025-09-23 11:37:36,CONFIRMED,W******5,8A,Quincy Biswas,+91--XXXXXX-3440,8c27fcd758614082,2025,9,23,Tuesday
B1124,P1846,6F129,2025-05-23 11:37:36,CANCELLED,M******9,5C,Ekansh Keer,+91--XXXXXX-1753,ff5ae4aceddfbbfe,2025,5,23,Friday
B1125,P1729,6F181,2026-01-15 11:37:36,PENDING,F******9,27E,Netra Dar,+91--XXXXXX-5564,dc6f099db8efb089,2026,1,15,Thursday
B1126,P1114,AI072,2025-10-20 11:37:36,CONFIRMED,K******4,10E,Yatin Baral,+91--XXXXXX-6718,07f23fab759696fe,2025,10,20,Monday
B1127,P1579,SJ154,2025-06-29 11:37:36,PENDING,N******4,2E,Finn Saini,+91--XXXXXX-6141,dc142665060b3bbc,2025,6,29,Sunday
B1128,P1298,AI031,2026-04-08 11:37:36,CONFIRMED,Y******4,10D,Diya Lal,+91--XXXXXX-9264,7278dde843a7d0a4,2026,4,8,Wednesday
B1129,P1836,AI031,2025-09-18 11:37:36,PENDING,W******2,26F,Samarth Murthy,+91--XXXXXX-4894,bbb3ae22d55523a7,2025,9,18,Thursday
B1130,P1482,6F158,2025-12-26 11:37:36,CONFIRMED,P******3,34E,William Lanka,+91--XXXXXX-1553,e483673b45d594c3,2025,12,26,Friday
B1131,P1396,6F184,2025-06-16 11:37:36,CANCELLED,Y******4,1C,Meghana Deep,+91--XXXXXX-6703,ddf7565e836e9c68,2025,6,16,Monday
B1132,P1393,UK141,2025-06-20 11:37:36,CONFIRMED,D******8,10D,Charita Shankar,+91--XXXXXX-2875,9d8f2bf47f933ad7,2025,6,20,Friday
B1133,P1074,6F168,2025-12-29 11:37:36,CANCELLED,E******6,23D,Diya Bora,+91--XXXXXX-2496,e271a5ae6695d2b6,2025,12,29,Monday
B1134,P1977,6F051,2025-07-28 11:37:36,CONFIRMED,G******3,34C,Aditya Shanker,+91--XXXXXX-9254,b3e98d575a6f6a33,2025,7,28,Monday
B1135,P1481,6F047,2025-12-02 11:37:36,CONFIRMED,D******3,20E,Harish Borah,+91--XXXXXX-6706,5b1396cd2b1ea630,2025,12,2,Tuesday
B1136,P1102,UK156,2025-10-26 11:37:36,PENDING,B******8,28E,Tanay Toor,+91--XXXXXX-2968,4c03b783b192656c,2025,10,26,Sunday
B1137,P1296,AI094,2025-09-01 11:37:36,PENDING,C******1,13E,Alka Deo,+91--XXXXXX-1393,42b68f8d722cbbc0,2025,9,1,Monday
B1138,P1177,AI038,2025-07-14 11:37:36,PENDING,A******4,6C,Ikshita Biswas,+91--XXXXXX-1934,e01367f91476396d,2025,7,14,Monday
B1139,P1214,6F255,2026-01-19 11:37:36,CONFIRMED,L******9,29F,Yash Pingle,+91--XXXXXX-2157,1b2546053e97814e,2026,1,19,Monday
B1140,P1966,SJ025,2026-01-23 11:37:36,CONFIRMED,E******7,29D,Bhavani Dugar,+91--XXXXXX-1700,395556c5efd10735,2026,1,23,Friday
B1141,P1314,SJ185,2025-10-28 11:37:36,CONFIRMED,F******9,9C,Raksha Mittal,+91--XXXXXX-5455,2da064e060681e78,2025,10,28,Tuesday
B1142,P1038,6F259,2026-01-21 11:37:36,CANCELLED,C******9,5C,Abhiram Mistry,+91--XXXXXX-4971,cc6749b22047582c,2026,1,21,Wednesday
B1143,P1258,6F073,2026-04-07 11:37:36,CANCELLED,V******7,15A,Hemang Desai,+91--XXXXXX-9840,80496bf06b42995f,2026,4,7,Tuesday
B1144,P1715,AI091,2025-09-26 11:37:36,CONFIRMED,M******8,6D,Aishani D’Alia,+91--XXXXXX-7996,b78fdaf6d1f73539,2025,9,26,Friday
B1145,P1006,6F191,2025-08-23 11:37:36,PENDING,F******1,15D,Hredhaan Dugal,+91--XXXXXX-6715,eab0fc0ee6a4afee,2025,8,23,Saturday
B1146,P1048,UK228,2025-08-30 11:37:36,PENDING,V******5,25A,Anita Manda,+91--XXXXXX-8150,1844ea6a52d61a12,2025,8,30,Saturday
B1147,P1537,6F146,2026-03-25 11:37:36,PENDING,R******0,11E,Shivansh Oza,+91--XXXXXX-9430,f02b16e745f84a7d,2026,3,25,Wednesday
B1148,P1160,6F068,2025-10-13 11:37:36,CONFIRMED,E******4,19A,Samar Lalla,+91--XXXXXX-0672,b93540eeb9a33de5,2025,10,13,Monday
B1149,P1868,SJ218,2026-01-08 11:37:36,PENDING,G******2,30F,Yashasvi Suresh,+91--XXXXXX-2528,77d4c5b33610c67f,2026,1,8,Thursday
B1150,P1175,UK083,2025-09-25 11:37:36,CONFIRMED,V******7,12A,Zayan Behl,+91--XXXXXX-2234,589c649ac07dc35a,2025,9,25,Thursday
B1151,P1590,SJ007,2026-01-18 11:37:36,CANCELLED,V******9,29B,George Sampath,+91--XXXXXX-9085,c939e51d601b8fa6,2026,1,18,Sunday
B1152,P1001,AI077,2025-08-14 11:37:36,PENDING,H******5,27A,Aradhana Basu,+91--XXXXXX-8402,885a5d17d04cd53b,2025,8,14,Thursday
B1153,P1894,UK017,2025-12-20 11:37:36,CANCELLED,X******6,8D,Aarush Nath,+91--XXXXXX-9050,029b7bccc5119148,2025,12,20,Saturday
B1154,P1454,6F229,2026-02-17 11:37:36,PENDING,B******0,24A,Kalpit Lala,+91--XXXXXX-7005,ccc2f84e97dea643,2026,2,17,Tuesday
B1155,P1927,6F074,2025-10-08 11:37:36,CONFIRMED,E******2,6D,Neel Sathe,+91--XXXXXX-5900,93d4ced360e38a48,2025,10,8,Wednesday
B1156,P1643,SJ088,2026-03-25 11:37:36,CONFIRMED,L******2,5E,Prisha Andra,+91--XXXXXX-8235,fb0935848fe0d0c1,2026,3,25,Wednesday
B1157,P1275,SJ167,2025-06-28 11:37:36,CONFIRMED,X******0,18B,Isaac Borra,+91--XXXXXX-0380,388842519e619cc3,2025,6,28,Saturday
B1158,P1497,6F234,2025-07-20 11:37:36,CONFIRMED,Y******0,22A,Manthan Banik,+91--XXXXXX-3787,e735fa6b89989c07,2025,7,20,Sunday
B1159,P1628,UK071,2025-12-10 11:37:36,PENDING,W******4,22F,Kala Divan,+91--XXXXXX-1686,e13ceb3e9197e83a,2025,12,10,Wednesday
B1160,P1675,AI178,2025-11-21 11:37:36,CANCELLED,C******0,29A,Qushi Datta,+91--XXXXXX-5204,0c62fbf1f82cae21,2025,11,21,Friday
B1161,P1799,UK104,2025-11-14 11:37:36,CONFIRMED,H******8,12A,Benjamin Morar,+91--XXXXXX-1674,251bd0a5408c4a91,2025,11,14,Friday
B1162,P1027,AI146,2025-04-22 11:37:36,UNKNOWN,N******8,32D,Janya Baral,+91--XXXXXX-9690,2afc372c3a24a3fe,2025,4,22,Tuesday
